SubOutputID;Code;ShortName;BusinessKey;OutputID;LongName;TextDescription
19;SO5.2.1;improve existing clinics and hospitals to provide better care and ability to proved  education to  patients;SO5.2.1;OP5.2;improve existing clinics and hospitals to provide better care and ability to proved  education to  patients;improve existing clinics and hospitals to provide better care and ability to proved  education to  patients
20;SO5.2.2;Improve Sex education & education on prevention of STDs;SO5.2.2;OP5.2;Improve Sex education & education on prevention of STDs;Improve Sex education & education on prevention of STDs
21;SO6.1.1;Increase awareness on the Disease and causes;SO6.1.1;OP6.1;Increase awareness on the Disease and causes;Increase awareness on the Disease and causes
22;SO6.2.1;Better equip existing clinics with care facilities and medication (ARVs) for distribution;SO6.2.1;OP6.2;Better equip existing clinics with care facilities and medication (ARVs) for distribution;Better equip existing clinics with care facilities and medication (ARVs) for distribution
23;SO6.2.2;Setup mobile stations for the with care facilities and medication (ARVs) for distribution for far lying regions;SO6.2.2;OP6.2;Setup mobile stations for the with care facilities and medication (ARVs) for distribution for far lying regions;Setup mobile stations for the with care facilities and medication (ARVs) for distribution for far lying regions
24;SO6.3.1;Increase effective control on breading grounds for Malaria;SO6.3.1;OP6.3;Increase effective control on breading grounds for Malaria;Increase effective control on breading grounds for Malaria
25;SO6.3.2;Education on how to prevent mosquito breading;SO6.3.2;OP6.3;Education on how to prevent mosquito breading;Education on how to prevent mosquito breading
26;SO7.1.1;Increase the effectiveness of enforcing the existing envinmental laws;SO7.1.1;OP7.1;Increase the effectiveness of enforcing the existing envinmental laws to prevent loss of environmental assests;Increase the effectiveness of enforcing the existing envinmental laws to prevent loss of environmental assests
27;SO7.2.1;increase measurements of environmental impact to quantify Biodiversity loss , CO2 levels and  consumption of ozone depleting substances;SO7.2.1;OP7.2;increase measurements of environmental impact to quantify Biodiversity loss , CO2 levels and  consumption of ozone depleting substances;increase measurements of environmental impact to quantify Biodiversity loss , CO2 levels and  consumption of ozone depleting substances
28;SO7.3.1;Increase access to safe water sources;SO7.3.1;OP7.3;Increase access to safe water sources;Increase access to safe water sources
29;SO7.3.2;Implement basic sanitation projects to communities in need;SO7.3.2;OP7.3;Implement basic sanitation projects to communities in need;Implement basic sanitation projects to communities in need
30;SO7.4.1;Improve access to basic sanitation in slums;SO7.4.1;OP7.4;Improve access to basic sanitation in slums;Improve access to basic sanitation in slums
31;SO7.4.2;Improve access to basic health care for slum dwellers;SO7.4.2;OP7.4;Improve access to basic health care for slum dwellers;Improve access to basic health care for slum dwellers
32;SO8.1.1;implement better foreign market access;SO8.1.1;OP8.1;implement better foreign market access;implement better foreign market access
33;SO8.2.1;Develop partnerships with Pharmacuetical companies for increased co-coperation ;SO8.2.1;OP8.2;Develop partnerships with Pharmacuetical companies for increased co-coperation ;Develop partnerships with Pharmacuetical companies for increased co-coperation 
34;SO8.2.2;Increase access to affordable medication ;SO8.2.2;OP8.2;Increase access to affordable medication ;Increase access to affordable medication 
35;SO8.3.1;Develop partnerships with private sector  companies for increased co-coperation ;SO8.3.1;OP8.3;Develop partnerships with private sector  companies for increased co-coperation ;Develop partnerships with private sector  companies for increased co-coperation 
36;SO8.3.2;Increase access to affordable and new technology ;SO8.3.2;OP8.3;Increase access to affordable and new technology ;Increase access to affordable and new technology 
